wl;up_coef;dw_coef;;;
649.7678416;0.002863756;0.001050789;;;
649.9343335;0.002863819;0.001050866;;;
650.1007941;0.002863882;0.001050944;;;
650.2672233;0.002863946;0.001051021;;;
650.4336211;0.002864009;0.001051098;;;
650.5999876;0.002864072;0.001051176;;;
650.7663228;0.002864135;0.001051253;;;
650.9326265;0.002864198;0.00105133;;;
651.0988989;0.002864261;0.001051407;;;
651.2651399;0.002864324;0.001051485;;;
651.4313496;0.002864387;0.001051562;;;
651.5975279;0.00286446;0.001051648;;;
651.7636748;0.002864535;0.001051745;;;
651.9297903;0.002864585;0.001051842;;;
652.0958744;0.002864585;0.001051929;;;
652.2619271;0.002864507;0.001051996;;;
652.4279484;0.002864327;0.001052032;;;
652.5939384;0.002864018;0.001052028;;;
652.7598969;0.002863555;0.001051972;;;
652.925824;0.002862924;0.00105186;;;
653.0917197;0.002862113;0.001051685;;;
653.2575841;0.002861108;0.001051443;;;
653.4234169;0.002859897;0.001051128;;;
653.5892184;0.002858468;0.001050735;;;
653.7549885;0.002856807;0.001050257;;;
653.9207271;0.002854907;0.001049692;;;
654.0864343;0.002852775;0.001049045;;;
654.2521101;0.002850424;0.001048321;;;
654.4177544;0.002847864;0.001047527;;;
654.5833673;0.002845109;0.001046671;;;
654.7489488;0.002842171;0.001045757;;;
654.9144988;0.00283906;0.001044794;;;
655.0800174;0.002835792;0.001043787;;;
655.2455045;0.002832396;0.001042747;;;
655.4109601;0.002828901;0.001041684;;;
655.5763844;0.002825339;0.001040608;;;
655.7417771;0.002821741;0.001039529;;;
655.9071384;0.002818136;0.001038457;;;
656.0724682;0.002814557;0.001037403;;;
656.2377665;0.002811026;0.001036374;;;
656.4030334;0.002807536;0.001035363;;;
656.5682688;0.002804075;0.001034362;;;
656.7334727;0.002800628;0.001033362;;;
656.8986452;0.002797181;0.001032353;;;
657.0637861;0.002793721;0.001031327;;;
657.2288956;0.002790234;0.001030274;;;
657.3939735;0.002786708;0.001029188;;;
657.55902;0.002783139;0.001028068;;;
657.724035;0.002779527;0.001026915;;;
657.8890184;0.002775868;0.001025729;;;
658.0539704;0.002772162;0.001024513;;;
658.2188908;0.002768407;0.001023266;;;
658.3837798;0.0027646;0.001021991;;;
658.5486372;0.002760745;0.001020688;;;
658.7134631;0.002756857;0.001019365;;;
658.8782575;0.002752957;0.001018029;;;
659.0430203;0.002749064;0.001016687;;;
659.2077516;0.002745199;0.001015346;;;
659.3724514;0.00274138;0.001014013;;;
659.5371197;0.002737629;0.001012696;;;
659.7017564;0.002733961;0.0010114;;;
659.8663616;0.002730371;0.001010124;;;
660.0309352;0.002726851;0.001008865;;;
660.1954773;0.002723394;0.001007618;;;
660.3599878;0.002719989;0.001006382;;;
660.5244668;0.002716629;0.001005153;;;
660.6889142;0.002713306;0.001003927;;;
660.85333;0.002710008;0.001002701;;;
661.0177143;0.002706717;0.001001471;;;
661.182067;0.00270341;0.001000231;;;
661.3463882;0.002700064;0.000998977;;;
661.5106777;0.002696659;0.000997704;;;
661.6749357;0.002693173;0.000996406;;;
661.8391621;0.002689583;0.000995078;;;
662.0033569;0.002685874;0.000993719;;;
662.1675202;0.002682055;0.000992331;;;
662.3316518;0.002678141;0.000990922;;;
662.4957519;0.002674145;0.000989496;;;
662.6598203;0.002670083;0.000988061;;;
662.8238571;0.002665971;0.000986622;;;
662.9878624;0.002661821;0.000985185;;;
663.151836;0.002657648;0.000983755;;;
663.315778;0.002653458;0.000982334;;;
663.4796884;0.002649254;0.000980921;;;
663.6435672;0.002645042;0.000979517;;;
663.8074144;0.002640826;0.000978121;;;
663.97123;0.00263661;0.000976733;;;
664.1350139;0.002632398;0.000975353;;;
664.2987662;0.002628195;0.000973982;;;
664.4624868;0.002624;0.00097262;;;
664.6261758;0.002619815;0.000971267;;;
664.7898332;0.00261564;0.000969925;;;
664.9534589;0.002611475;0.000968595;;;
665.117053;0.00260732;0.000967277;;;
665.2806154;0.002603175;0.000965972;;;
665.4441462;0.002599043;0.000964681;;;
665.6076453;0.002594927;0.000963403;;;
665.7711128;0.002590834;0.000962138;;;
665.9345486;0.002586769;0.000960885;;;
666.0979527;0.002582739;0.000959645;;;
666.2613252;0.002578749;0.000958416;;;
666.4246659;0.002574806;0.000957198;;;
666.587975;0.002570913;0.000955991;;;
666.7512525;0.002567072;0.000954794;;;
666.9144982;0.002563281;0.000953605;;;
667.0777123;0.00255954;0.000952423;;;
667.2408946;0.002555847;0.000951246;;;
667.4040453;0.002552201;0.000950074;;;
667.5671643;0.002548602;0.000948905;;;
667.7302516;0.002545047;0.000947739;;;
667.8933071;0.002541533;0.000946574;;;
668.056331;0.002538055;0.00094541;;;
668.2193231;0.002534606;0.000944246;;;
668.3822836;0.002531183;0.000943083;;;
668.5452123;0.002527779;0.00094192;;;
668.7081093;0.002524389;0.000940756;;;
668.8709746;0.002521012;0.000939591;;;
669.0338082;0.002517652;0.000938427;;;
669.19661;0.002514318;0.000937267;;;
669.3593801;0.002511018;0.000936112;;;
669.5221184;0.002507761;0.000934965;;;
669.6848251;0.002504553;0.000933828;;;
669.8474999;0.002501404;0.000932704;;;
670.0101431;0.002498319;0.000931593;;;
670.1727544;0.002495293;0.000930495;;;
670.3353341;0.00249232;0.000929407;;;
670.4978819;0.002489393;0.000928327;;;
670.6603981;0.002486506;0.000927252;;;
670.8228824;0.00248365;0.000926181;;;
670.985335;0.00248082;0.000925111;;;
671.1477558;0.002478008;0.00092404;;;
671.3101449;0.002475212;0.000922972;;;
671.4725021;0.002472426;0.000921909;;;
671.6348276;0.002469648;0.000920854;;;
671.7971213;0.002466872;0.000919812;;;
671.9593833;0.002464096;0.000918784;;;
672.1216134;0.002461316;0.000917775;;;
672.2838117;0.002458531;0.000916788;;;
672.4459783;0.002455751;0.000915824;;;
672.608113;0.00245299;0.000914885;;;
672.770216;0.002450261;0.000913975;;;
672.9322871;0.002447579;0.000913094;;;
673.0943265;0.002444956;0.000912244;;;
673.256334;0.002442406;0.000911429;;;
673.4183097;0.002439936;0.000910647;;;
673.5802536;0.00243753;0.000909893;;;
673.7421656;0.002435164;0.000909159;;;
673.9040459;0.002432815;0.000908436;;;
674.0658943;0.002430461;0.000907718;;;
674.2277109;0.002428078;0.000906995;;;
674.3894956;0.002425644;0.00090626;;;
674.5512485;0.00242314;0.000905506;;;
674.7129696;0.002420562;0.000904731;;;
674.8746588;0.002417913;0.000903931;;;
675.0363162;0.002415194;0.000903105;;;
675.1979417;0.002412406;0.000902252;;;
675.3595354;0.00240955;0.000901368;;;
675.5210972;0.002406628;0.000900452;;;
675.6826272;0.002403644;0.000899503;;;
675.8441253;0.002400606;0.000898526;;;
676.0055915;0.002397529;0.000897527;;;
676.1670259;0.002394423;0.000896513;;;
676.3284283;0.002391302;0.000895491;;;
676.4897989;0.002388177;0.000894465;;;
676.6511377;0.00238506;0.000893443;;;
676.8124445;0.002381964;0.00089243;;;
676.9737194;0.0023789;0.000891431;;;
677.1349625;0.002375882;0.000890453;;;
677.2961737;0.002372919;0.000889498;;;
677.4573529;0.002370025;0.000888572;;;
677.6185003;0.002367212;0.000887681;;;
677.7796158;0.002364491;0.000886828;;;
677.9406993;0.002361871;0.000886017;;;
678.101751;0.002359348;0.000885243;;;
678.2627707;0.002356914;0.000884501;;;
678.4237585;0.002354562;0.000883784;;;
678.5847144;0.002352284;0.000883086;;;
678.7456384;0.002350073;0.000882402;;;
678.9065305;0.002347922;0.000881724;;;
679.0673906;0.002345822;0.000881049;;;
679.2282188;0.002343768;0.000880375;;;
679.389015;0.002341753;0.000879701;;;
679.5497793;0.002339771;0.000879026;;;
679.7105117;0.002337817;0.000878352;;;
679.8712121;0.002335883;0.000877677;;;
680.0318806;0.002333964;0.000877;;;
680.1925171;0.002332055;0.000876323;;;
680.3531217;0.002330156;0.000875647;;;
680.5136943;0.002328271;0.000874976;;;
680.6742349;0.002326401;0.000874312;;;
680.8347436;0.00232455;0.000873658;;;
680.9952203;0.002322719;0.000873018;;;
681.155665;0.002320911;0.000872394;;;
681.3160778;0.002319126;0.000871788;;;
681.4764586;0.002317359;0.000871195;;;
681.6368074;0.002315602;0.000870611;;;
681.7971242;0.002313847;0.000870029;;;
681.957409;0.002312088;0.000869444;;;
682.1176618;0.002310315;0.00086885;;;
682.2778827;0.002308522;0.000868242;;;
682.4380715;0.002306704;0.000867616;;;
682.5982284;0.002304863;0.000866975;;;
682.7583532;0.002303008;0.000866324;;;
682.918446;0.002301144;0.000865668;;;
683.0785068;0.002299277;0.000865012;;;
683.2385356;0.002297414;0.000864362;;;
683.3985324;0.00229556;0.000863721;;;
683.5584971;0.002293722;0.000863095;;;
683.7184299;0.002291898;0.000862483;;;
683.8783306;0.002290086;0.000861884;;;
684.0381992;0.002288284;0.000861299;;;
684.1980359;0.00228649;0.000860727;;;
684.3578405;0.002284703;0.000860166;;;
684.517613;0.002282919;0.000859617;;;
684.6773535;0.002281137;0.000859078;;;
684.837062;0.00227936;0.00085855;;;
684.9967384;0.002277587;0.000858032;;;
685.1563828;0.002275822;0.000857525;;;
685.3159951;0.002274066;0.000857029;;;
685.4755753;0.00227232;0.000856544;;;
685.6351235;0.002270587;0.000856069;;;
685.7946396;0.002268867;0.000855604;;;
685.9541236;0.002267161;0.000855147;;;
686.1135756;0.002265469;0.000854695;;;
686.2729955;0.002263789;0.000854244;;;
686.4323833;0.002262123;0.000853792;;;
686.591739;0.002260469;0.000853335;;;
686.7510626;0.002258827;0.000852871;;;
686.9103542;0.002257198;0.000852397;;;
687.0696136;0.00225558;0.000851914;;;
687.228841;0.002253973;0.000851423;;;
687.3880362;0.002252377;0.000850927;;;
687.5471994;0.002250792;0.000850428;;;
687.7063304;0.002249217;0.000849926;;;
687.8654293;0.002247652;0.000849423;;;
688.0244961;0.002246097;0.000848922;;;
688.1835308;0.002244554;0.000848425;;;
688.3425334;0.002243025;0.000847934;;;
688.5015039;0.002241512;0.000847451;;;
688.6604422;0.002240018;0.000846979;;;
688.8193484;0.002238543;0.00084652;;;
688.9782225;0.002237091;0.000846078;;;
689.1370644;0.002235664;0.000845653;;;
689.2958742;0.002234261;0.000845243;;;
689.4546518;0.002232885;0.000844845;;;
689.6133973;0.002231536;0.000844457;;;
689.7721107;0.002230214;0.000844075;;;
689.9307919;0.002228921;0.000843696;;;
690.0894409;0.002227657;0.000843317;;;
690.2480578;0.002226421;0.000842936;;;
690.4066425;0.00222521;0.000842553;;;
690.5651951;0.002224017;0.000842168;;;
690.7237155;0.002222839;0.000841781;;;
690.8822037;0.002221668;0.000841395;;;
691.0406597;0.002220499;0.000841008;;;
691.1990836;0.002219328;0.000840622;;;
691.3574752;0.002218149;0.000840237;;;
691.5158347;0.002216966;0.000839852;;;
691.674162;0.00221578;0.000839467;;;
691.8324571;0.002214596;0.000839082;;;
691.99072;0.002213415;0.000838695;;;
692.1489507;0.002212242;0.000838306;;;
692.3071492;0.00221108;0.000837915;;;
692.4653155;0.00220993;0.00083752;;;
692.6234496;0.002208796;0.000837125;;;
692.7815515;0.002207678;0.000836732;;;
692.9396212;0.002206577;0.000836344;;;
693.0976586;0.002205496;0.000835964;;;
693.2556639;0.002204435;0.000835594;;;
693.4136369;0.002203396;0.000835237;;;
693.5715776;0.002202379;0.000834894;;;
693.7294862;0.002201377;0.000834564;;;
693.8873625;0.002200381;0.000834245;;;
694.0452066;0.002199384;0.000833932;;;
694.2030184;0.002198378;0.000833624;;;
694.360798;0.002197353;0.000833317;;;
694.5185453;0.002196302;0.000833009;;;
694.6762604;0.002195218;0.000832697;;;
694.8339432;0.002194104;0.000832382;;;
694.9915938;0.002192964;0.000832067;;;
695.1492121;0.002191803;0.000831753;;;
695.3067981;0.002190624;0.000831441;;;
695.4643519;0.002189433;0.000831134;;;
695.6218734;0.002188233;0.000830833;;;
695.7793626;0.00218703;0.000830539;;;
695.9368196;0.002185832;0.000830253;;;
696.0942443;0.00218465;0.000829976;;;
696.2516367;0.002183492;0.000829707;;;
696.4089968;0.002182368;0.000829447;;;
696.5663246;0.002181289;0.000829196;;;
696.7236201;0.002180263;0.000828954;;;
696.8808833;0.002179296;0.000828721;;;
697.0381142;0.002178381;0.000828497;;;
697.1953128;0.002177506;0.000828278;;;
697.3524791;0.002176659;0.000828064;;;
697.5096131;0.002175829;0.000827854;;;
697.6667148;0.002175005;0.000827646;;;
697.8237842;0.002174174;0.000827437;;;
697.9808212;0.002173328;0.000827228;;;
698.1378259;0.002172467;0.000827018;;;
698.2947983;0.002171592;0.000826807;;;
698.4517384;0.002170706;0.000826595;;;
698.6086461;0.00216981;0.000826384;;;
698.7655215;0.002168908;0.000826173;;;
698.9223646;0.002168001;0.000825962;;;
699.0791753;0.002167093;0.000825752;;;
699.2359536;0.002166187;0.000825544;;;
699.3926997;0.002165291;0.000825337;;;
699.5494133;0.00216441;0.000825132;;;
699.7060946;0.002163551;0.00082493;;;
699.8627436;0.002162718;0.00082473;;;
700.0193602;0.002161919;0.000824533;;;
700.1759444;0.002161157;0.00082434;;;
700.3324962;0.002160427;0.000824149;;;
700.4890157;0.002159725;0.000823959;;;
700.6455028;0.002159042;0.000823769;;;
700.8019575;0.002158374;0.000823577;;;
700.9583798;0.002157714;0.000823383;;;
701.1147698;0.002157055;0.000823184;;;
701.2711273;0.002156395;0.000822982;;;
701.4274525;0.002155739;0.000822778;;;
701.5837453;0.002155096;0.000822576;;;
701.7400056;0.002154476;0.000822381;;;
701.8962336;0.002153888;0.000822195;;;
702.0524292;0.002153339;0.000822022;;;
702.2085923;0.00215284;0.000821867;;;
702.3647231;0.002152394;0.000821731;;;
702.5208214;0.002151989;0.000821611;;;
702.6768873;0.002151606;0.000821501;;;
702.8329208;0.002151229;0.000821396;;;
702.9889219;0.002150841;0.000821291;;;
703.1448905;0.002150422;0.00082118;;;
703.3008267;0.002149958;0.000821059;;;
703.4567305;0.002149433;0.000820924;;;
703.6126018;0.002148851;0.000820774;;;
703.7684407;0.002148217;0.000820613;;;
703.9242471;0.002147538;0.000820442;;;
704.0800211;0.002146821;0.000820264;;;
704.2357626;0.002146072;0.000820081;;;
704.3914717;0.002145297;0.000819895;;;
704.5471483;0.002144503;0.000819707;;;
704.7027925;0.002143701;0.000819521;;;
704.8584042;0.002142902;0.000819337;;;
705.0139834;0.002142117;0.000819158;;;
705.1695302;0.002141359;0.000818985;;;
705.3250445;0.002140637;0.000818821;;;
705.4805263;0.002139964;0.000818668;;;
705.6359756;0.002139348;0.000818526;;;
705.7913925;0.002138783;0.000818395;;;
705.9467768;0.002138262;0.000818275;;;
706.1021287;0.002137778;0.000818164;;;
706.257448;0.002137322;0.000818063;;;
706.4127349;0.002136887;0.000817969;;;
706.5679893;0.002136466;0.000817881;;;
706.7232112;0.002136049;0.0008178;;;
706.8784005;0.002135631;0.000817722;;;
707.0335574;0.002135204;0.000817643;;;
707.1886817;0.00213476;0.000817561;;;
707.3437735;0.002134293;0.000817473;;;
707.4988328;0.002133794;0.000817375;;;
707.6538596;0.002133258;0.000817265;;;
707.8088538;0.002132679;0.000817142;;;
707.9638155;0.002132069;0.000817008;;;
708.1187447;0.002131442;0.000816872;;;
708.2736414;0.002130813;0.000816738;;;
708.4285055;0.002130196;0.000816613;;;
708.583337;0.002129605;0.000816504;;;
708.738136;0.002129054;0.000816415;;;
708.8929025;0.002128554;0.000816352;;;
709.0476364;0.002128098;0.000816309;;;
709.2023378;0.002127675;0.00081628;;;
709.3570066;0.002127275;0.000816258;;;
709.5116428;0.002126886;0.000816236;;;
709.6662465;0.002126498;0.000816208;;;
709.8208176;0.002126101;0.000816167;;;
709.9753561;0.002125686;0.000816108;;;
710.129862;0.002125253;0.000816032;;;
710.2843354;0.002124806;0.000815941;;;
710.4387762;0.002124348;0.000815839;;;
710.5931844;0.002123881;0.000815728;;;
710.74756;0.00212341;0.000815611;;;
710.901903;0.002122937;0.00081549;;;
711.0562134;0.002122465;0.000815369;;;
711.2104912;0.002122003;0.00081525;;;
711.3647364;0.002121557;0.000815138;;;
711.518949;0.002121136;0.000815035;;;
711.673129;0.002120747;0.000814945;;;
711.8272764;0.002120399;0.000814871;;;
711.9813912;0.002120098;0.000814817;;;
712.1354734;0.002119851;0.000814786;;;
712.2895229;0.002119648;0.000814773;;;
712.4435398;0.00211948;0.000814776;;;
712.5975241;0.002119334;0.00081479;;;
712.7514757;0.002119201;0.00081481;;;
712.9053947;0.002119068;0.000814834;;;
713.0592811;0.002118926;0.000814857;;;
713.2131348;0.002118764;0.000814876;;;
713.3669559;0.00211858;0.000814887;;;
713.5207443;0.002118371;0.00081489;;;
713.6745001;0.002118136;0.000814883;;;
713.8282232;0.002117871;0.000814865;;;
713.9819137;0.002117577;0.000814832;;;
714.1355715;0.002117249;0.000814785;;;
714.2891967;0.002116889;0.000814721;;;
714.4427891;0.002116505;0.000814644;;;
714.5963489;0.002116108;0.000814558;;;
714.7498761;0.002115707;0.000814466;;;
714.9033705;0.002115314;0.000814372;;;
715.0568323;0.00211494;0.000814281;;;
715.2102614;0.002114594;0.000814194;;;
715.3636578;0.002114285;0.000814117;;;
715.5170215;0.002114019;0.000814052;;;
715.6703525;0.002113796;0.000814002;;;
715.8236508;0.00211362;0.000813968;;;
715.9769164;0.002113493;0.000813955;;;
716.1301493;0.002113417;0.000813963;;;
716.2833495;0.002113395;0.000813996;;;
716.436517;0.002113426;0.000814055;;;
716.5896518;0.002113501;0.000814137;;;
716.7427538;0.002113605;0.000814235;;;
716.8958232;0.002113727;0.000814345;;;
717.0488598;0.002113854;0.000814462;;;
717.2018636;0.002113972;0.000814579;;;
717.3548348;0.002114068;0.000814693;;;
717.5077732;0.002114131;0.000814799;;;
717.6606789;0.002114154;0.000814894;;;
717.8135518;0.002114132;0.000814976;;;
717.966392;0.00211406;0.000815044;;;
718.1191995;0.002113931;0.000815095;;;
718.2719742;0.00211374;0.000815128;;;
718.4247161;0.002113482;0.000815142;;;
718.5774253;0.002113155;0.000815135;;;
718.7301018;0.002112774;0.000815112;;;
718.8827454;0.002112354;0.000815079;;;
719.0353563;0.002111915;0.000815042;;;
719.1879345;0.002111473;0.000815006;;;
719.3404798;0.002111046;0.000814978;;;
719.4929924;0.002110652;0.000814964;;;
719.6454722;0.002110303;0.000814967;;;
719.7979192;0.002109999;0.000814986;;;
719.9503334;0.002109733;0.000815017;;;
720.1027149;0.002109502;0.000815057;;;
720.2550635;0.002109299;0.000815104;;;
720.4073794;0.002109119;0.000815153;;;
720.5596624;0.002108957;0.000815201;;;
720.7119127;0.002108808;0.000815246;;;
720.8641301;0.002108669;0.000815288;;;
721.0163147;0.002108537;0.000815326;;;
721.1684666;0.002108409;0.000815363;;;
721.3205856;0.002108282;0.000815397;;;
721.4726718;0.002108154;0.00081543;;;
721.6247251;0.002108021;0.000815463;;;
721.7767457;0.002107884;0.000815496;;;
721.9287334;0.002107749;0.000815531;;;
722.0806882;0.002107625;0.00081557;;;
722.2326103;0.002107523;0.000815616;;;
722.3844995;0.00210745;0.000815671;;;
722.5363558;0.002107416;0.000815737;;;
722.6881793;0.002107432;0.000815816;;;
722.83997;0.002107501;0.000815911;;;
722.9917278;0.002107618;0.000816018;;;
723.1434528;0.002107773;0.000816137;;;
723.2951449;0.002107955;0.000816264;;;
723.4468041;0.002108154;0.000816397;;;
723.5984305;0.00210836;0.000816534;;;
723.750024;0.002108563;0.000816672;;;
723.9015846;0.002108754;0.000816809;;;
724.0531124;0.002108928;0.000816942;;;
724.2046072;0.00210908;0.000817071;;;
724.3560692;0.002109208;0.000817194;;;
724.5074983;0.002109307;0.000817308;;;
724.6588946;0.002109373;0.000817412;;;
724.8102579;0.002109402;0.000817504;;;
724.9615883;0.002109392;0.000817584;;;
725.1128859;0.00210935;0.000817652;;;
725.2641505;0.002109285;0.000817713;;;
725.4153822;0.002109206;0.000817768;;;
725.5665811;0.002109121;0.000817819;;;
725.717747;0.002109039;0.000817871;;;
725.86888;0.002108969;0.000817924;;;
726.0199801;0.002108918;0.000817982;;;
726.1710472;0.00210889;0.000818046;;;
726.3220815;0.002108887;0.000818117;;;
726.4730828;0.002108911;0.000818196;;;
726.6240511;0.002108964;0.000818284;;;
726.7749866;0.002109047;0.000818381;;;
726.9258891;0.002109164;0.000818489;;;
727.0767587;0.002109313;0.000818608;;;
727.2275953;0.002109484;0.000818734;;;
727.3783989;0.002109662;0.000818863;;;
727.5291697;0.002109835;0.00081899;;;
727.6799074;0.002109988;0.000819112;;;
727.8306123;0.002110109;0.000819223;;;
727.9812841;0.002110184;0.000819319;;;
728.131923;0.002110202;0.000819397;;;
728.2825289;0.002110171;0.00081946;;;
728.4331019;0.0021101;0.000819511;;;
728.5836418;0.00211;0.000819553;;;
728.7341488;0.00210988;0.000819591;;;
728.8846229;0.002109751;0.000819627;;;
729.0350639;0.002109622;0.000819665;;;
729.1854719;0.002109503;0.000819709;;;
729.335847;0.002109407;0.000819762;;;
729.4861891;0.002109343;0.000819827;;;
729.6364981;0.002109324;0.000819908;;;
729.7867742;0.00210936;0.000820007;;;
729.9370173;0.002109462;0.000820127;;;
730.0872273;0.002109642;0.000820273;;;
730.2374044;0.002109907;0.000820445;;;
730.3875484;0.002110248;0.000820642;;;
730.5376595;0.002110652;0.000820861;;;
